322632	Bank of America: A purchase of $22.02 at TRADER JOE'S #552 was charged to your credit card ending in 9111 on 11/27.
24273	Chase: An external transfer of $1,144.84 from BANK OF AMERICA ...9661 was deposited to acct ...9384 on 04/29. Avail bal: $29,664.12.
322632	Bank of America: A withdrawal/debit of $71.87 (ATM WITHDRAWAL #A5521) posted to account ending 9661 on 08/23. Available balance: $1,270.50.
692484	Citi: A debit card purchase of $46.75 at H-E-B 331 posted to your account ending 6208 on 06/14. Available balance: $2,239.05.
322632	Bank of America: An authorized user purchase of $49.90 at ULTA BEAUTY 220 on card ending 3040 was charged to your account ending 9111 on 05/29.
93557	Wells Fargo: You made a purchase of $58.95 at SPROUTS FARMERS MKT with debit card ending 9111 on 08/13. Available balance: $5,458.31.
24273	Chase: You made a $41.85 debit card purchase with card ending 7761 at CHIPOTLE 1187 on 05/13. Avail bal: $36,476.23.
692484	Citi: An ACH credit of $412.00 from AUSTIN ISD REBATE posted to your account ending 6208 on 08/06. Available balance: $1,972.55.
24273	Chase: Your transfer of $1,000.00 from checking ...9384 to savings ...5520 is complete on 04/13. Checking avail bal: $27,708.52.
24273	Chase: You made a $149.00 debit card purchase with card ending 7761 at DELTA AIR LINES on 03/09. Avail bal: $19,717.20.
322632	Bank of America: A purchase of $79.32 at WHOLE FOODS MKT was charged to your credit card ending in 9111 on 10/17.
24273	Chase: You made a $120.00 debit card purchase with card ending 7761 at PELOTON INTERACTIVE (My Plan payment 1 of 4) on 04/02. Avail bal: $27,295.91.
322632	Bank of America: An Overdraft Item Fee of $35 was assessed to account ending 9661 on 09/20. Available balance: $1,341.45.
24273	Chase: An ACH debit of $1,650.00 (SUNSTONE PROPERTY MGMT RENT) posted to acct ...9384 on 05/08. Avail bal: $30,161.82.
24273	Chase: You withdrew $200.00 at ATM 7-ELEVEN 3391 with card ending 7761 on 02/28. Avail bal: $20,382.21.
93557	Wells Fargo: You made a purchase of $76.40 at STREAMLYFE MEDIA with debit card ending 9111 on 06/10. Available balance: $3,976.78.
24273	Chase: You made a $129.43 debit card purchase with card ending 882 at WHOLE FOODS MKT on 10/20. Avail bal: $15,329.56.
24273	Chase: MIKE CHEN sent you $121.80 with Zelle(R). Deposited to acct ...9384. Avail bal: $20,507.62.
24273	Chase: You sent $45.00 to DEV PATEL with Zelle(R) from acct ending 9384 on 05/14. Avail bal: $36,386.23.
93557	Wells Fargo: You made a purchase of $127.80 at ACE HARDWARE 2211 with debit card ending 9111 on 05/27. Available balance: $3,438.72.
24273	Chase: You made a $68.03 debit card purchase with card ending 7761 at SPOTIFY USA on 12/27. Avail bal: $20,420.99.
24273	Chase: You made a $51.60 debit card purchase with card ending 7761 at TRADER JOE'S #552 on 01/13. Avail bal: $19,308.31.
322632	BofA: Payment of $200.00 received on credit card ending 9111. Thank you. Avail credit: $1,084.32.
692484	Citi: A debit card purchase of $39.85 at WALGREENS 1188 posted to your account ending 6208 on 07/17. Available balance: $1,839.30.
692484	Citi: A Bill Pay payment of $88.00 to AUSTIN ENERGY was sent from account ending 6208 on 05/12. Available balance: $2,472.25.
24273	Chase: You scheduled a payment of $174.59 to COMCAST CABLE for 12/08 from acct ...9384. To cancel, visit chase.com/pay.
322632	BofA Alert: Credit card ending 9111 was used for 1234.56 USD at BEST BUY #442 on 09/27. Avail credit: $1,600.10. Fraud? Call 800.732.9194.
322632	BofA: A pending authorization of $52.14 at WHOLE FOODS MKT is on your credit card ending 9111. Final amount may vary.
55123	CHASE SECURITY: Unusual sign-in detected. Confirm your identity at chase-id-verify.example/secure
262966	282295 is your Amazon OTP. Do not share it with anyone.
24273	Chase: You have used 5 of your 6 permitted withdrawals from savings ...5520 this statement period. Additional withdrawals may incur a fee.
692484	Citi: A hold of $40.00 was placed by SUNOCO 8871 on your debit card ending 8890 pending the pump total.
22000	Google: New sign-in to your account from a Mac. Review activity if this wasn't you.
322632	Bank of America: Your statement for credit card ending 9111 is ready. Minimum payment due $25.00 by 08/14.
692484	Citi: Mobile check deposit is now available on your account ending 6208. Deposit from anywhere in the app.
692484	Citi: 660281 is your Citi verification code. Do not share it with anyone.
692484	Citi: Your Citi Online username was created. Sign in at citi.example to manage account ending 6208.
24273	Chase: The $60.00 hold placed by HERTZ RENT A CAR on card ending 7761 has been released. No charge was made.
77958	IRS: Your amended 2026 return has been processed. Your refund will be deposited in 3-5 business days.
93557	Wells Fargo: Your debit card ending 9111 was DECLINED at LUXE JEWELERS for $2,480.00 due to insufficient funds. No charge was made.
37777	USPS: Your package 9414352513849945149 is out for delivery today.
24273	Chase: You scheduled a payment of $190.41 to COMCAST CABLE for 09/04 from acct ...9384. To cancel, visit chase.com/pay.
37777	USPS: Your package 9405511899223197428490 is scheduled for delivery today by 6:30pm.
93557	Wells Fargo: Scheduled transfer notice - $600.00 will be sent from account ending 4417 to CHASE ...9384 on 03/14.
322632	Bank of America: Case 8841207 has been RESOLVED IN YOUR FAVOR. The provisional credit of $412.90 is now permanent. No further action is needed.
24273	Chase: Your one-time code is 462331. Don't share it. We'll never call to ask for it.
24273	Chase: You scheduled a payment of $249.36 to COMCAST CABLE for 11/07 from acct ...9384. To cancel, visit chase.com/pay.
322632	BofA: Your credit card ending 9111 was DECLINED for $414.89 at SHELL OIL 5744 on 11/23. Call 800.732.9194 if you need help.
322632	BofA Reminder: Payment of $35.00 minimum is due on credit card ending 9111 by 09/08. Avoid late fees.
24273	Chase: Zelle(R) request: MIKE CHEN is requesting $75.00 from you. Reply in the Chase app to send or decline.
